Pais;Over25_H;Over15_H;GolsSofridos_H;GolsMarcados_H;MediaGols_H;PPG_H;Home;Hora;Away;PPG_A;MediaGols_A;GolsMarcados_A;GolsSofridos_A;Over15_A;Over25_A;BTTS_H;Vitorias_H;BTTS_A;Vitorias_A
BRA;100;100;2;2;4;1;Vasco da Gama;20:00:00;Bahia;0;3;1;2;100;100;100;0;100;0
MEX;29;43;1;1;2;1.14;Toluca W;20:00:00;Leon W;0.71;3.57;1.29;2.29;100;86;29;29;57;14
PAR;50;100;0.5;2;2.5;2;Sol de America;20:45:00;A. Colegiales;0.5;2.5;1;1.5;100;50;50;50;100;0
CHI;50;50;0.5;1;1.5;2;Dalian P.;08:35:00;Meizhou Hakka;1;2;1;1;100;0;50;50;100;0
CZE;33;58;0.92;1;1.92;1.08;Opava;09:00:00;Karvina;1;3.92;1.75;2.17;100;92;42;25;92;25
ARM;50;64;0.43;1.71;2.14;2;Alashkert;09:00:00;L. Artsakh;1;2.07;0.64;1.43;57;36;29;57;29;29
ENG;50;83;1.5;1.17;2.67;1.17;Crewe A. U21;09:00:00;Bristol C. U21;2.17;2.08;1.33;0.75;50;25;50;25;42;67
ETH;0;33;0.56;0.56;1.11;1.22;Welayta Dicha;09:00:00;L. Legedadi;0.67;2.78;0.56;2.22;89;67;33;22;33;22
BEL;100;100;1;3;4;3;MKK-Dnepr;09:00:00;S.Petrikov;0;4;0.5;3.5;100;50;100;100;50;0
GER;64;100;1.71;2.21;3.93;1.57;Weiden;09:00:00;Wurzburger FV;1.29;3;1.36;1.64;71;64;79;43;64;36
ENG;64;95;1.36;1.64;3;1.36;Rotherham;09:00:00;Middlesbrough;1.32;3.36;1.73;1.64;91;77;64;36;73;41
GER;62;88;1.19;2.13;3.31;2.13;Altona;09:00:00;W. Concordia;1.25;4.25;2;2.25;100;75;62;62;69;38
SOU;46;62;0.92;1.31;2.23;1.62;Kaizer Chiefs;10:00:00;Moroka Swallows;0.77;1.69;0.38;1.31;54;23;46;46;23;15
SWE;0;0;1;0;1;0;IFK Goteborg;10:00:00;Norrkoping;1.5;3;1.5;1.5;100;100;0;0;0;50
SWE;0;50;0.5;1;1.5;1.5;Trelleborg;10:00:00;GIF Sundsvall;3;1;1;0;0;0;0;50;0;100
ENG;69;92;1.23;1.69;2.92;1.54;Coventry U21;10:00:00;Watford U21;1;3.69;1.08;2.62;85;69;46;46;38;31
ENG;85;100;2.31;1.69;4;1.15;Burnley U21;10:00:00;Swansea U21;0.92;4;1.85;2.15;100;92;62;31;92;23
ENG;69;92;1.85;1.62;3.46;1.23;Birmingham U21;10:00:00;Reading U21;1.08;3.38;1.54;1.85;92;77;54;31;77;31
SWE;50;50;1;1;2;1.5;Utsikten;10:00:00;Orgryte;0.5;1;0;1;50;0;50;50;0;0
SWE;100;100;0;4.5;4.5;3;Falkenberg;10:00:00;Ljungskile;3;1;1;0;0;0;0;100;0;100
CRO;43;71;0.79;1.57;2.36;1.86;Solin;10:00:00;Orijent;0.86;2.71;1;1.71;71;64;29;57;50;14
SWE;0;0;1;0;1;0;Norrby;10:00:00;Olympic;1.5;1.5;1;0.5;50;0;0;0;0;50
ZIM;50;100;1;1.5;2.5;2;Herentals;10:00:00;Platinum;1.33;2.67;1.33;1.33;100;67;100;50;100;33
